zone,timestamp,price_eur_per_mwh
NO1,2026-04-19T00:00:00+00:00,126.6
NO1,2026-04-19T01:00:00+00:00,119.96
NO1,2026-04-19T02:00:00+00:00,117.78
NO1,2026-04-19T03:00:00+00:00,118.14
NO1,2026-04-19T04:00:00+00:00,117.4
NO1,2026-04-19T05:00:00+00:00,114.81
NO1,2026-04-19T06:00:00+00:00,115.02
NO1,2026-04-19T07:00:00+00:00,113.15
NO1,2026-04-19T08:00:00+00:00,111.5
NO1,2026-04-19T09:00:00+00:00,93.58
NO1,2026-04-19T10:00:00+00:00,85.26
NO1,2026-04-19T11:00:00+00:00,66.93
NO1,2026-04-19T12:00:00+00:00,64.45
NO1,2026-04-19T13:00:00+00:00,62.66
NO1,2026-04-19T14:00:00+00:00,64.98
NO1,2026-04-19T15:00:00+00:00,71.36
NO1,2026-04-19T16:00:00+00:00,106.32
NO1,2026-04-19T17:00:00+00:00,111.99
NO1,2026-04-19T18:00:00+00:00,120.21
NO1,2026-04-19T19:00:00+00:00,128.24
NO1,2026-04-19T20:00:00+00:00,133.39
NO1,2026-04-19T21:00:00+00:00,127.45
NO1,2026-04-19T22:00:00+00:00,122.27
NO1,2026-04-19T23:00:00+00:00,117.63
NO2,2026-04-19T00:00:00+00:00,107.21
NO2,2026-04-19T01:00:00+00:00,104.35
NO2,2026-04-19T02:00:00+00:00,102.7
NO2,2026-04-19T03:00:00+00:00,103.47
NO2,2026-04-19T04:00:00+00:00,103.12
NO2,2026-04-19T05:00:00+00:00,100.79
NO2,2026-04-19T06:00:00+00:00,101.36
NO2,2026-04-19T07:00:00+00:00,99.28
NO2,2026-04-19T08:00:00+00:00,96.45
NO2,2026-04-19T09:00:00+00:00,79.28
NO2,2026-04-19T10:00:00+00:00,68.0
NO2,2026-04-19T11:00:00+00:00,64.18
NO2,2026-04-19T12:00:00+00:00,61.35
NO2,2026-04-19T13:00:00+00:00,60.6
NO2,2026-04-19T14:00:00+00:00,62.67
NO2,2026-04-19T15:00:00+00:00,68.07
NO2,2026-04-19T16:00:00+00:00,98.12
NO2,2026-04-19T17:00:00+00:00,107.48
NO2,2026-04-19T18:00:00+00:00,117.23
NO2,2026-04-19T19:00:00+00:00,116.72
NO2,2026-04-19T20:00:00+00:00,117.96
NO2,2026-04-19T21:00:00+00:00,111.83
NO2,2026-04-19T22:00:00+00:00,107.15
NO2,2026-04-19T23:00:00+00:00,102.4
NO3,2026-04-19T00:00:00+00:00,161.05
NO3,2026-04-19T01:00:00+00:00,162.32
NO3,2026-04-19T02:00:00+00:00,155.67
NO3,2026-04-19T03:00:00+00:00,153.61
NO3,2026-04-19T04:00:00+00:00,151.22
NO3,2026-04-19T05:00:00+00:00,146.55
NO3,2026-04-19T06:00:00+00:00,143.65
NO3,2026-04-19T07:00:00+00:00,133.12
NO3,2026-04-19T08:00:00+00:00,131.13
NO3,2026-04-19T09:00:00+00:00,109.42
NO3,2026-04-19T10:00:00+00:00,103.0
NO3,2026-04-19T11:00:00+00:00,83.91
NO3,2026-04-19T12:00:00+00:00,80.94
NO3,2026-04-19T13:00:00+00:00,80.55
NO3,2026-04-19T14:00:00+00:00,86.87
NO3,2026-04-19T15:00:00+00:00,112.8
NO3,2026-04-19T16:00:00+00:00,135.88
NO3,2026-04-19T17:00:00+00:00,119.31
NO3,2026-04-19T18:00:00+00:00,114.7
NO3,2026-04-19T19:00:00+00:00,167.4
NO3,2026-04-19T20:00:00+00:00,161.48
NO3,2026-04-19T21:00:00+00:00,152.4
NO3,2026-04-19T22:00:00+00:00,159.59
NO3,2026-04-19T23:00:00+00:00,147.45
NO4,2026-04-19T00:00:00+00:00,-23.0
NO4,2026-04-19T01:00:00+00:00,-4.33
NO4,2026-04-19T02:00:00+00:00,-2.72
NO4,2026-04-19T03:00:00+00:00,0.0
NO4,2026-04-19T04:00:00+00:00,3.02
NO4,2026-04-19T05:00:00+00:00,2.26
NO4,2026-04-19T06:00:00+00:00,7.54
NO4,2026-04-19T07:00:00+00:00,5.42
NO4,2026-04-19T08:00:00+00:00,-3.25
NO4,2026-04-19T09:00:00+00:00,7.54
NO4,2026-04-19T10:00:00+00:00,-12.06
NO4,2026-04-19T11:00:00+00:00,-9.4
NO4,2026-04-19T12:00:00+00:00,-9.21
NO4,2026-04-19T13:00:00+00:00,-12.35
NO4,2026-04-19T14:00:00+00:00,-13.38
NO4,2026-04-19T15:00:00+00:00,-2.81
NO4,2026-04-19T16:00:00+00:00,14.59
NO4,2026-04-19T17:00:00+00:00,20.04
NO4,2026-04-19T18:00:00+00:00,22.63
NO4,2026-04-19T19:00:00+00:00,45.17
NO4,2026-04-19T20:00:00+00:00,22.63
NO4,2026-04-19T21:00:00+00:00,14.9
NO4,2026-04-19T22:00:00+00:00,14.32
NO4,2026-04-19T23:00:00+00:00,8.92
NO5,2026-04-19T00:00:00+00:00,116.92
NO5,2026-04-19T01:00:00+00:00,111.9
NO5,2026-04-19T02:00:00+00:00,109.92
NO5,2026-04-19T03:00:00+00:00,110.45
NO5,2026-04-19T04:00:00+00:00,109.93
NO5,2026-04-19T05:00:00+00:00,107.41
NO5,2026-04-19T06:00:00+00:00,107.82
NO5,2026-04-19T07:00:00+00:00,105.93
NO5,2026-04-19T08:00:00+00:00,106.15
NO5,2026-04-19T09:00:00+00:00,114.51
NO5,2026-04-19T10:00:00+00:00,113.63
NO5,2026-04-19T11:00:00+00:00,119.71
NO5,2026-04-19T12:00:00+00:00,117.47
NO5,2026-04-19T13:00:00+00:00,117.51
NO5,2026-04-19T14:00:00+00:00,117.53
NO5,2026-04-19T15:00:00+00:00,117.38
NO5,2026-04-19T16:00:00+00:00,102.07
NO5,2026-04-19T17:00:00+00:00,109.69
NO5,2026-04-19T18:00:00+00:00,118.69
NO5,2026-04-19T19:00:00+00:00,122.26
NO5,2026-04-19T20:00:00+00:00,125.47
NO5,2026-04-19T21:00:00+00:00,119.45
NO5,2026-04-19T22:00:00+00:00,114.54
NO5,2026-04-19T23:00:00+00:00,109.81
